_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;wealth.reported;HH7_FUTURE;LOCATION_LNG;HOUSEHOLD_REF;LOCATION_LAT;STATUS;LOCATION_ALT;HH05;HH04;MEMBER_NO_CHILD_FEMALE;HH06;HH01;LOCATION_ACC;MEMBER_NO_ADOLESCENT_FEMALE;HH03;MEMBER_NO_ADULT_FEMALE;SEX_OF_INTERVIEWEE;HH02;MEMBER_NO_CHILD_MALE;HH07_DONE;MEMBER_NO_ADULT_MALE;MEMBER_NO_ADOLESCENT_MALE;hh0;hh;wealth.reported;psu;AREA;ID;division;district;upazila;union;vwc;ultrapoor;poor;nonpoor;CountSTratWealth;weight
milon;53:36,0;0;53:36,0;0;0;1;53:36,0;53:36,0;pp;;89,1047753;20310;23,8877949;0;0;A;B;0;E;A;2606;0;B;3;F;A;2;C;3;0;;10;pp;2;1;20310;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;15,11111111
milon;02:59,0;0;02:59,0;0;0;1;02:59,0;02:59,0;pp;C;89,1047753;20312;23,8877949;0;0;A;B;0;B;A;2606;1;B;1;F;D;0;0;2;0;;12;pp;2;1;20312;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;15,11111111
milon;03:00,0;0;03:00,0;0;0;1;03:00,0;03:00,0;pp;;89,1047753;20316;23,8877949;0;0;A;B;0;C;A;2606;1;D;1;F;A;0;D;2;0;;16;pp;2;1;20316;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;15,11111111
milon;03:01,0;0;03:01,0;0;0;1;03:01,0;03:01,0;up;;89,1047753;20301;23,8877949;0;0;A;B;2;C;E;2606;0;D;2;F;E;1;D;1;1;0;1;up;2;1;20301;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;6,111111111
milon;31:12,0;0;31:12,0;0;0;1;31:12,0;31:12,0;up;E;89,0935253;20303;23,8845356;0;0;A;A;0;C;D;3069;0;B;2;F;C;0;C;2;1;0;3;up;2;1;20303;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;6,111111111
milon;31:12,0;0;31:12,0;0;0;1;31:12,0;31:12,0;0;;89,0935253;20317;23,8845356;0;0;A;B;0;C;B;3069;0;B;3;F;A;0;C;2;0;;17;pp;2;1;20317;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;15,11111111
milon;31:13,0;0;31:13,0;0;0;1;31:13,0;31:13,0;np;;89,0935253;20319;23,8845356;0;0;A;A;0;C;B;3069;0;B;2;F;A;0;C;0;1;;19;np;2;1;20319;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;12,11111111
milon;31:14,0;0;31:14,0;0;0;1;31:14,0;31:14,0;np;;89,0935253;20325;23,8845356;0;0;A;B;0;C;B;3069;0;B;1;F;A;0;C;2;0;;25;np;2;1;20325;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;12,11111111
milon;31:15,0;0;31:15,0;0;0;1;31:15,0;31:15,0;pp;;89,0956219;20318;23,8758762;0;0;A;B;0;C;A;2501;1;C;1;F;A;1;;1;1;;18;pp;2;1;20318;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;15,11111111
milon;31:15,0;0;31:15,0;0;0;1;31:15,0;31:15,0;pp;;89,0956219;20314;23,8758762;0;0;A;A;0;C;B;2501;1;C;3;F;A;1;A;2;0;;14;pp;2;1;20314;;Kushtia;Kushtia Sadar;Jagati;Jagati-3;55;136;109;9;15,11111111
