_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;DIS_BW_UPZ_RCS;LOCATION_ACC;LOCATION_LNG;ORIENTATION_SUP_REC_FBRAC;LOCATION_LAT;RSC01;STATUS;MAX_ESTM_TRAVEL_TIME;LOCATION_ALT;RSC_REF;FINANCIAL_SUP_REC_FBRAC;psu;area;sl_no;rscnr;ID;district;upazila;union;rsc;loan
shahjahan;13:10,0;0;13:10,0;0;0;1;13:10,0;13:10,0;1;0;0;Yes;0;C;0;60;0;107056;Yes;7;1;21;56;107056;Gazipur;Kaligonj;Jangalia;M/S Giash Uddin Sanitation Center;0
hafizur;26:49,0;0;26:49,0;0;0;1;26:49,0;26:49,0;7;15;89,57641266;Yes;23,6105051;B;0;60;77;109030;Yes;9;1;26;30;109030;Rajbari;Baliakandi;Jamalpur;Ma Sanitary Station;1
hannan;49:04,0;0;49:04,0;0;0;1;49:04,0;49:04,0;7;3146;89,4845679;Yes;25,0424124;B;0;50;0;125263;Yes;25;1;71;263;125263;Bogra;Sonatoal;Modhupur;Reziya Varities store;1
ramzan;37:15,0;0;37:15,0;0;0;1;37:15,0;37:15,0;12;2188;90,3777327;No;24,3826824;B;0;90;0;122386;No;22;1;64;386;122386;Mymensingh;Bhaluka;Khachena;Tayub Sanitary Mart;0
ramzan;59:59,0;0;59:59,0;0;0;1;59:59,0;59:59,0;6;2512;90,3751018;No;24,3455814;B;0;100;0;122380;No;22;1;64;380;122380;Mymensingh;Bhaluka;Hobirbare;Lalmia Sanitation Center;0
aman;08:42,0;0;08:42,0;0;0;1;08:42,0;08:42,0;15;0;0;Yes;0;B;0;180;0;133123;Yes;33;1;98;123;133123;Feni;Fulgazi;Fulgazi;Jalil Sanitary Centre;1
rezaul;43:15,0;0;43:15,0;0;0;1;43:15,0;43:15,0;13;0;0;No;0;B;0;80;0;106078;No;6;1;18;78;106078;Dhaka;Dhamrai;Kushura;Bhai Bhai Sanitary;1
mamunur;09:27,0;0;09:27,0;0;0;1;09:27,0;09:27,0;5;3295;91,913146;Yes;22,5703532;C;0;180;0;147093;Yes;47;1;141;93;147093;Chittagong;Roujan;Dabua;Abu Taher Constraction & Supplier;1
milon;38:09,0;0;38:09,0;0;0;1;38:09,0;38:09,0;5;2282;89,1009124;Yes;23,840446;C;0;60;0;102018;Yes;2;1;5;18;102018;Kushtia;Kushtia Sadar;Alampur;Md. Taijuddin Sanitary;1
alauddin;03:20,0;0;03:20,0;0;0;1;03:20,0;03:20,0;6;15;92,30731871;Yes;24,91350232;C;0;180;28;198451;No;98;2;3;451;198451;Sylhet;Zokijonj;Birosree;Adunik Sanitary;0
shariful;35:07,0;0;35:07,0;0;0;1;35:07,0;35:07,0;6;0;0;Yes;0;A;0;65;0;113147;Yes;13;1;38;147;113147;Comilla;Burichong;Bharellah;Salma Sanitary House;1
shahidur;43:20,0;0;43:20,0;0;0;1;43:20,0;43:20,0;5;2803;90,597385;Yes;24,9145403;B;0;90;0;197486;Yes;97;2;15;486;197486;Netrakona;Purbadhala;Kholishaur;Rabiya Raziya Sanitary Centre;1
jahurul;38:53,0;0;38:53,0;0;0;1;38:53,0;38:53,0;6;0;0;Yes;0;B;0;90;0;138088;Yes;38;1;112;88;138088;Tangail;Modhupur;Golabari;Shima Sanitary Center;1
aman;43:29,0;0;43:29,0;0;0;1;43:29,0;43:29,0;0;2346;91,4338489;Yes;23,1137266;D;0;0;0;133124;No;33;1;98;124;133124;Feni;Fulgazi;Fulgazi;Rafique Sanitary;0
ramzan;17:02,0;0;17:02,0;0;0;1;17:02,0;17:02,0;12;2187;90,377731;Yes;24,382704;B;0;90;0;122385;Yes;22;1;64;385;122385;Mymensingh;Bhaluka;Khachena;M/s Niloy Sanitary Mart;1
shahjahan;11:00,0;0;11:00,0;0;0;1;11:00,0;11:00,0;4;0;0;Yes;0;B;0;120;0;107055;Yes;7;1;21;55;107055;Gazipur;Kaligonj;Jangalia;M/S Meraz Uddin Traders;1
shariful;13:24,0;0;13:24,0;0;0;1;13:24,0;13:24,0;12;3415;91,1291531;Yes;23,5413817;A;0;135;0;113144;Yes;13;1;38;144;113144;Comilla;Burichong;Burichong;Mim Sanitary;1
shariful;45:04,0;0;45:04,0;0;0;1;45:04,0;45:04,0;6;0;0;No;0;A;0;65;0;113148;No;13;1;38;148;113148;Comilla;Burichong;Bharellah;Jahangir Sanitary Center;0
milon;18:38,0;0;18:38,0;0;0;1;18:38,0;18:38,0;6;0;0;Yes;0;B;0;40;0;102011;Yes;2;1;5;11;102011;Kushtia;Kushtia Sadar;Jagati;Nahid Sanitary;1
ramzan;37:15,0;0;37:15,0;0;0;1;37:15,0;37:15,0;12;2188;90,3777327;No;24,3826824;B;0;90;0;122387;No;22;1;64;387;122387;Mymensingh;Bhaluka;Khachena;M/S M Nahian Traders;0
shariful;47:33,0;0;47:33,0;0;0;1;47:33,0;47:33,0;5;2277;91,0584698;No;23,5595435;D;0;40;0;113152;Yes;13;1;38;152;113152;Comilla;Burichong;Sholonol;Sakander Ali Sanitary Center;0
shahjahan;35:46,0;0;35:46,0;0;0;1;35:46,0;35:46,0;5;0;0;Yes;0;B;0;120;0;107061;Yes;7;1;21;61;107061;Gazipur;Kaligonj;Kaligonj;M/S Mukta Enterprise;0
hannan;39:05,0;0;39:05,0;0;0;1;39:05,0;39:05,0;8;4140;89,501322;Yes;25,0515658;B;0;60;0;125266;Yes;25;1;71;266;125266;Bogra;Sonatoal;Sonatola Sodor;Nasrin Sanitation Centre;1
ramzan;59:58,0;0;59:58,0;0;0;1;59:58,0;59:58,0;7;2512;90,3751018;Yes;24,3455814;B;0;120;0;122379;Yes;22;1;64;379;122379;Mymensingh;Bhaluka;Hobirbare;Bakul Sanitary Mart;1
rezaul;13:52,0;0;13:52,0;0;0;1;13:52,0;13:52,0;9;0;0;Yes;0;B;0;60;0;106077;0;6;1;18;77;106077;Dhaka;Dhamrai;Kushura;Khadija Sanitary;1
shariful;50:27,0;0;50:27,0;0;0;1;50:27,0;50:27,0;6;2304;91,1137339;Yes;23,5249707;A;0;60;0;113151;Yes;13;1;38;151;113151;Comilla;Burichong;Sholonol;Morshad Enterprise;1
motilal;31:12,0;0;31:12,0;0;0;1;31:12,0;31:12,0;10;5000;90,6757937;Yes;23,5336215;B;0;120;0;146165;Yes;46;1;138;165;146165;Chandpur;Matlab North;Shatnol;Roni Enterprise;1
aman;08:00,0;0;08:00,0;0;0;1;08:00,0;08:00,0;8;2346;91,4338489;Yes;23,1137266;C;0;120;0;133125;Yes;33;1;98;125;133125;Feni;Fulgazi;Amjad Hat;Razzak Sanitation Centre;1
