_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;TOT_FEMALE_TEACHERS;LOCATION_LNG;SS01_BOYS_LATRINE;LOCATION_LAT;TOT_FEMALE_STUDENTS;TYPE_OF_WATER_SOURCE;STATUS;SCHOOL_REF;LOCATION_ALT;SS01_GIRLS_LATRINE;LOCATION_ACC;TOT_MALE_TEACHERS;NO_OF_GIRLS_TOILET_BY_OTHERS;SS03;TOT_MALE_STUDENTS;SS02;SS04;NO_OF_GIRLS_TOILET_BY_BRAC;psu;sl_no;sn;ID;district;upazila;union;name_lnstitute;girlsonly;female/male teacher;female/male students
momin;46:30,0;0;46:30,0;0;0;1;46:30,0;46:30,0;1;91,5406613;E;24,7649671;74;D;0;216167;0;D;4117;6;0;E;78;D;C;2;16;49;167;216167;Sunamgonj;Jaganathpur;Kolkolia;Balikandi Dakhil Madrasha;0;0,17;0,948717949
momin;51:45,0;0;51:45,0;0;0;1;51:45,0;51:45,0;1;91,5495026;E;24,7692592;188;D;0;216165;0;D;1773;6;0;E;159;D;C;2;16;49;165;216165;Sunamgonj;Jaganathpur;Kolkolia;Parargaung High school;0;0,17;1,182389937
shahidur;01:29,0;0;01:29,0;0;0;1;01:29,0;01:29,0;4;0;A;0;206;D;0;297403;0;A;0;9;0;A;189;A;A;2;97;15;403;297403;Netrakona;Purbadhala;Kholishaur;Khalishapur High School(Co-Ed);0;0,44;1,08994709
quddus;35:47,0;0;35:47,0;0;0;1;35:47,0;35:47,0;3;89,0222084;C;23,4111537;142;D;0;201005;0;C;2572;8;0;A;158;C;D;2;1;3;5;201005;Jhenidah;Kotchandpur;Kushna;Jalalpur High School;0;0,38;0,898734177
sanjoy;37:59,0;0;37:59,0;0;0;1;37:59,0;37:59,0;2;89,0377039;D;22,8657239;115;E;0;203215;0;D;2485;13;2;E;95;D;C;2;3;9;215;203215;Satkhira;Kolaroa;Jughikhali;Kamar Ali Dakhil Madrasa;0;0,15;1,210526316
ramzan;50:38,0;0;50:38,0;0;0;1;50:38,0;50:38,0;2;0;E;0;150;D;0;221344;0;A;0;7;0;A;112;A;A;2;21;62;344;221344;Mymensingh;Mymensingh Sadar;Sirota;Char Gobindapur High School;0;0,29;1,339285714
ramzan;56:23,0;0;56:23,0;0;0;1;56:23,0;56:23,0;3;0;E;0;206;D;0;221341;0;A;0;10;0;C;167;A;A;2;21;62;341;221341;Mymensingh;Mymensingh Sadar;Chornilokkhia;Charniloxmia High School;0;0,3;1,233532934
milon;40:11,0;0;40:11,0;0;0;1;40:11,0;40:11,0;4;0;D;0;13;D;0;202013;0;E;0;7;0;E;12;E;E;2;2;5;13;202013;Kushtia;Kushtia Sadar;Jagati;Ideal Junior High School;0;0,57;1,083333333
quddus;45:44,0;0;45:44,0;0;0;1;45:44,0;45:44,0;1;89,0221952;A;23,4112957;110;E;0;201004;0;A;2590;6;0;A;68;D;B;2;1;3;4;201004;Jhenidah;Kotchandpur;Kushna;Kushna High School;0;0,17;1,617647059
swapon;45:36,0;0;45:36,0;0;0;1;45:36,0;45:36,0;4;89,7844621;C;23,2733813;365;D;0;240365;0;A;4634;12;0;A;298;B;A;2;40;121;365;240365;Gopalgonj;Kashiani;Mohes Pur;Pathan Danga High School(Co-Ed);0;0,33;1,224832215
