_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;LOCATION_LNG;LOCATION_LAT;STATUS;LOCATION_ALT;VWC_REF;VWC_ESTABLISHED_YEAR;YEAR_OF_SOCIAL_MAP_MADE;HH_CENSUS_UP;HH_INEND12_UP;HH_CENSUS_PP;HH_INEND12_PP;TOT_NO_OF_HH_CENSUS2008OR12_NP;TOT_NO_OF_HH_INEND12_NP;Ratio NP / UP+P;TOTAL_NO_OF_FEMALE_MEMBER_START;TOTAL_NO_OF_FEMALE_MEMBER_NOW;TOTAL_NO_OF_MALE_MEMBER_START;TOTAL_NO_OF_MALE_MEMBER_NOW;IS_ARSENIC_PRONE_AREA;WATER_SUPPORT_VWC_TUBEWELL_BRAC;WATER_SUPPORT_VWC_TUBEWELL_OTHER;WATER_SUPPORT_VWC_DEEPTUBEWELL_BRAC;WATER_SUPPORT_VWC_DEEPTUBEWELL_OTHER;WATER_SUPPORT_VWC_SANDPONDFILTER_BRAC;WATER_SUPPORT_VWC_SANDPONDFILTER_OTHER;WATER_SUPPORT_VWC_NOTAPPLICABLE_BRAC;WATER_SUPPORT_VWC_NOTAPPLICABLE_OTHER;VWC01;VWC02;VWC03_SCORE_AGREED;VWC03_SCORE_MEN;VWC03_SCORE_WOMEN;LOCATION_ACC;NAME_INVIEWER1;NAME_INVIEWER2;SEX_INTERVIEWER2;SEX_INTERVIEWER1;hh0;hh;wealth;select0;select;psu;psu0;psu1;PSU2;id;district;upazila;union;vwc;ultrapoor;poor;nonpoor;totalHH;%up;%p;%np;weight_up;Weight_p;weight_np
shahidur;38:49,0;0;38:49,0;0;0;1;38:49,0;38:49,0;0;0;0;0;5970200;2012;2012;50;0;114;0;69;0;PP&UP;6;6;5;5;No;No;No;No;No;No;No;No;No;D;B;A;A;A;0;Md.shohidur rahman;Nazmun naher;F;M;0;0;up;0;2;97;5;97;2;5970200;Netrakona;Purbadhala;Kholishaur;Gauania;50;144;39;233;21%;62%;17%;;;
hafizur;27:38,0;0;27:38,0;0;0;1;27:38,0;27:38,0;89,5895422;23,6155288;0;0;5090100;2008;2008;7;0;53;0;96;0;NP;6;6;5;5;No;Yes;No;No;No;No;No;No;No;A;A;A;A;A;3701;Hafizur;0;0;M;0;0;up;0;1;9;50;9;1;5090100;Rajbari;Baliakandi;Jamalpur;Vati khalkula-1;6;55;95;156;4%;35%;61%;;;
rezaul;43:25,0;0;43:25,0;0;0;1;43:25,0;43:25,0;0;0;0;0;5060100;2008;2008;12;0;55;0;23;0;PP&UP;6;6;5;5;No;0;0;0;0;0;0;0;0;D;B;A;A;A;0;Md.rejaul karim;Fulmala akter;F;M;0;0;up;0;1;6;50;6;1;5060100;Dhaka;Dhamrai;Kushura;Bocharbari;16;60;48;124;13%;48%;39%;;;
harun;21:37,0;0;21:37,0;0;0;1;21:37,0;21:37,0;90,8297326;24,3131597;0;0;5610300;2012;2012;45;0;26;0;140;0;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;E;E;E;E;3875;Harun.ar.rashid;Shermin.akther;F;M;0;0;up;0;3;61;5;61;2;5610300;Kishoregonj;Katiadi;Mumurdia;Purbo Dhonkipara;45;26;140;211;21%;12%;66%;;;
mamunur;58:40,0;0;58:40,0;0;0;1;58:40,0;58:40,0;91,92774133;22,54178217;0;-41;5470300;2007;2007;10;0;82;0;142;0;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;C;C;C;10;mamun;nasima;F;M;0;0;up;0;3;47;5;47;1;5470300;CHITTAGONG;RAOZAN;DABUA;Hingoli- 4;10;82;142;234;4%;35%;61%;;;
momin;06:28,0;0;06:28,0;0;0;1;06:28,0;06:28,0;91,54129734;24,80541824;0;-35;5160200;2008;2008;29;0;20;0;171;0;NP;6;7;5;4;No;0;No;0;No;0;0;Yes;Yes;D;B;B;B;B;5;Md.abdul momin;Sheikh ruhi;F;M;0;0;up;0;2;16;5;16;1;5160200;Sunamgonj;Jaganathpur;Kolkolia;Mojidpur;29;124;71;224;13%;55%;32%;;;
hafizur;17:21,0;0;17:21,0;0;0;1;17:21,0;17:21,0;89,5511329;23,6242026;0;0;5090300;2008;2008;15;0;138;0;97;0;PP&UP;6;6;5;5;No;Yes;No;No;Yes;No;No;0;0;A;A;A;A;A;2633;Hafizur rahaman;Shikha kirtuniya;F;M;0;0;up;0;3;9;50;9;1;5090300;Rajbari;Baliakandi;Nababpur;Baruli;14;136;100;250;6%;54%;40%;;;
alauddin;14:41,0;0;14:41,0;0;0;1;14:41,0;14:41,0;92,2697199;24,9356595;0;0;5980300;2012;2012;24;0;75;0;35;0;PP&UP;6;6;5;5;No;No;No;No;Yes;No;No;0;0;D;D;E;E;E;4690;Alauddin;Shabelabegum;F;M;0;0;up;0;3;98;5;98;2;5980300;Sylhet;Zokigonj;Birosree;Godadhor;21;7;106;134;16%;5%;79%;;;
swapon;13:26,0;0;13:26,0;0;0;1;13:26,0;13:26,0;89,8659194;22,9135752;0;0;5390200;2007;2007;23;0;123;0;114;0;PP&UP;6;6;5;5;Yes;0;0;0;0;0;0;0;0;D;A;B;B;B;3578;swapon.ray;subarna;F;M;0;0;up;0;2;39;5;39;1;5390200;Gopalgonj;Tungipara;Patgati;Gimadanga north para;23;123;114;260;9%;47%;44%;;;
ramzan;38:43,0;0;38:43,0;0;0;1;38:43,0;38:43,0;90,3777418;24,3826994;0;0;5220200;2007;2007;11;0;113;0;83;0;PP&UP;7;7;4;4;No;0;0;0;0;0;0;0;0;D;A;A;A;A;2189;romjan;fatema;F;M;0;0;up;0;2;22;5;22;1;5220200;Mymensingh;Bhaluka;Hobirbare;Hobirbare-12;4;29;174;207;2%;14%;84%;;;
