"_URI","_CREATOR_URI_USER","_CREATION_DATE","_LAST_UPDATE_URI_USER","_LAST_UPDATE_DATE","_MODEL_VERSION","_UI_VERSION","_IS_COMPLETE","_SUBMISSION_DATE","_MARKED_AS_COMPLETE_DATE","RVHC_SLUDGE_MANAGEMENT_WHEN_LATRINE_PIT_IS_FULL_DONE","RVHC_LATRINE_USE_BY_WHOM","RVHC_HH_DATE","RVHC_SLUDGE_MANAGEMENT_WHEN_LATRINE_PIT_IS_FULL_DONE_OUPUT","RVHC_HOUSEHOLD_LOCATION_LNG","RVHC_SHARED_LATRINE","RVHC_NO_OF_PEOPLE_WITH_DIFFICULTIES","RVHC_SECTION1_RVHC_NO_OF_MEMBER_MALE_TENAGE","RVHC_HOUSEHOLD_LOCATION_LAT","RVHC_SECTION1_RVHC_NO_OF_MEMBER_FEMALE_ADULT","RVHC_SLUDGE_MANAGEMENT_WHEN_LATRINE_PIT_IS_FULL_FUTURE_OUPUT","RVHC_NAME_OF_VILLAGE","RVHC_HOUSEHOLD_LOCATION_ALT","META_INSTANCE_ID","RVHC_LATRINE_USE_WHEN","RVHC_HOUSEHOLD_BARCODE","RVHC_SOURCE_TO_DRINK_WATER_MANAGEMENT_OUPUT","RVHC_SLUDGE_MANAGEMENT_WHEN_LATRINE_PIT_IS_FULL_FUTURE","RVHC_SOURCE_TO_DRINK_WATER_MANAGEMENT","RVHC_TYPE_OF_LATRINE_OTHER","RVHC_TYPE_OF_LATRINE","RVHC_SECTION1_RVHC_SURVEYER_GENDER","RVHC_SAFE_AND_STORED_WATER_SOURCE","RVHC_SECTION1_RVHC_NO_OF_MEMBER_FEMALE_TENAGE","RVHC_HOUSEHOLD_LOCATION_ACC","RVHC_SANITARY_HYGENIC_HH_LATRINE_OUPUT","RVHC_SECTION1_RVHC_NO_OF_MEMBER_MALE_ADULT","RVHC_SECTION1_RVHC_NO_OF_MEMBER_FEMALE_CHILD","RVHC_SANITARY_HYGENIC_HH_LATRINE","RVHC_SAFE_AND_STORED_WATER_SOURCE_OUPUT","RVHC_SECTION1_RVHC_NO_OF_MEMBER_MALE_CHILD","RVHC_SITUATION_OF_HH_ON_SURVEY","RVHC_DIARRHOE","RVHC_HANDWASHING_PROVISION_AFTER_DEFECTION"
"uuid:4186ca57-5bb5-4b57-9794-d833a33a19fc","uid:alauddin|2013-12-18T22:35:16.923+0000","2013-12-29 08:23:02","","2013-12-29 08:23:02",,,"1","2013-12-29 08:23:02","2013-12-29 08:23:02","D","B","2013-12-29 00:00:00","",91.3608579000,"A","0",0,24.1501613000,3,"","Jogodishpur tea garben",0.0000000000,"uuid:4186ca57-5bb5-4b57-9794-d833a33a19fc","A","31030121","","","B","","A","Male","B",0,4252.0000000000,"",4,1,"4","",2,"pp","","C"
"uuid:b3dc1679-5dd1-4104-bfc9-a99cd9128433","anonymousUser","2014-01-15 04:36:08","anonymousUser","2014-01-15 06:13:59",,,"1","2014-01-15 04:36:08","2014-01-15 06:13:59","F","C","2014-01-15 00:00:00","",89.8910523000,"A","0",0,24.7705375000,1,"","Bilbalia-1",0.0000000000,"uuid:b3dc1679-5dd1-4104-bfc9-a99cd9128433","C","31331925","","C","D","","A","Female","D",0,4316.0000000000,"",2,0,"4","",0,"pp","","E"
"uuid:99abacec-6b99-420f-b46d-fa5bcd7ad67e","uid:aman|2013-12-18T22:35:50.552+0000","2013-12-29 11:25:07","","2013-12-29 11:25:07",,,"1","2013-12-29 11:25:07","2013-12-29 11:25:07","D","B","2013-12-29 00:00:00","",91.3878909000,"C","0",,22.8035539000,1,"","Purba Baraodhali",0.0000000000,"uuid:99abacec-6b99-420f-b46d-fa5bcd7ad67e","B","31231413","","","D","","A","Female","D",,4161.0000000000,"",1,,"4","",1,"up","","E"
"uuid:d30c2539-572c-484b-a2d9-a558ef123482","uid:alauddin|2013-12-18T22:35:16.923+0000","2013-12-29 12:03:04","","2013-12-29 12:03:04",,,"1","2013-12-29 12:03:04","2013-12-29 12:03:04","F","A","2013-12-29 00:00:00","",91.3608579000,"A","0",0,24.1501613000,1,"","Jogodishpur tea garden",0.0000000000,"uuid:d30c2539-572c-484b-a2d9-a558ef123482","A","31030112","","C","D","","A","Female","D",0,4252.0000000000,"",1,1,"1","",1,"up","","C"
"uuid:da01078a-3b47-47c5-b6fb-412b9df33793","anonymousUser","2014-01-15 04:33:58","","2014-01-15 04:33:58",,,"1","2014-01-15 04:33:58","2014-01-15 04:33:58","","","2014-01-15 00:00:00","",88.4941880000,"","0",0,24.9922470000,1,"","hiradanga",0.0000000000,"uuid:da01078a-3b47-47c5-b6fb-412b9df33793","","31914221","","","B","","","Female","A",1,3949.0000000000,"",1,0,"6","",1,"pp","",""
"uuid:67c89943-d8ae-4d35-a0f4-3a1f9a6ebb2c","uid:alauddin|2013-12-18T22:35:16.923+0000","2013-12-29 12:15:46","uid:alauddin|2013-12-18T22:35:16.923+0000","2013-12-29 12:31:54",,,"1","2013-12-29 12:15:46","2013-12-29 12:31:54","F","B","2013-12-29 00:00:00","",91.3608579000,"A","0",0,24.1501613000,1,"","Jogodishpur tea garden",0.0000000000,"uuid:67c89943-d8ae-4d35-a0f4-3a1f9a6ebb2c","A","31030111","","C","C","Pit latrin","D","Female","C",0,4252.0000000000,"",1,1,"5","",1,"up","","E"
"uuid:806b440d-bb95-499d-87d4-b2b31e42f6ad","uid:alauddin|2013-12-18T22:35:16.923+0000","2013-12-29 12:21:15","uid:alauddin|2013-12-18T22:35:16.923+0000","2013-12-29 12:34:02",,,"1","2013-12-29 12:21:15","2013-12-29 12:34:02","F","B","2013-12-29 00:00:00","",91.3608579000,"A","0",0,24.1501613000,2,"","Jogodishpur tea garden",0.0000000000,"uuid:806b440d-bb95-499d-87d4-b2b31e42f6ad","A","31030127","","C","C","Pit latrin","D","Male","C",0,4252.0000000000,"",3,0,"5","",0,"pp","","E"
"uuid:f5aa6e63-d0fd-4000-89e8-a22cb4554afa","anonymousUser","2014-01-15 04:12:43","","2014-01-15 04:12:43",,,"1","2014-01-15 04:12:43","2014-01-15 04:12:43","","","2014-01-15 00:00:00","",89.8910523000,"","0",0,24.7705375000,2,"","Bilbalia-1",0.0000000000,"uuid:f5aa6e63-d0fd-4000-89e8-a22cb4554afa","","31331913","","","D","","","Female","D",1,4316.0000000000,"",1,1,"6","",1,"up","",""
"uuid:653729dd-45da-47c5-af68-2c61b74fa92a","anonymousUser","2014-01-15 04:25:06","anonymousUser","2014-01-15 06:09:07",,,"1","2014-01-15 04:25:06","2014-01-15 06:09:07","C","C","2014-01-15 00:00:00","",89.8552538000,"A","0",0,24.7796882000,1,"","Bilbalia-1",0.0000000000,"uuid:653729dd-45da-47c5-af68-2c61b74fa92a","C","31331924","","","C","","A","Male","B",0,4128.0000000000,"",2,0,"4","",0,"pp","","E"
"uuid:e65f26d9-d5c9-40cb-8e6f-53b1bfa613c1","uid:aman|2013-12-18T22:35:50.552+0000","2013-12-30 05:34:33","","2013-12-30 05:34:33",,,"1","2013-12-30 05:34:33","2013-12-30 05:34:33","D","D","2013-12-30 00:00:00","",91.3878909000,"A","0",1,22.8035539000,1,"","Purba Barodhali",0.0000000000,"uuid:e65f26d9-d5c9-40cb-8e6f-53b1bfa613c1","B","31231437","","","C","","A","Female","A",1,4161.0000000000,"",1,,"4","",1,"np","","D"
