Sl..No,ID,code128,PSU,District,PSU_UP,Upazila,PSU_Union,Union,PSU_VWC,VWC,HH_PSU,wealth,Ultra.poor,Poor,Non.Poor,Total,Remarks,Print Sl .no
13260,1418252511,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,11,UP,1,108,36,145,,1
13260,1418252512,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,12,UP,1,108,36,145,,1
13260,1418252513,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,13,UP,1,108,36,145,,1
13260,1418252514,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,14,UP,1,108,36,145,,1
13260,1418252515,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,15,UP,1,108,36,145,,1
13260,1418252516,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,16,UP,1,108,36,145,,1
13260,1418252521,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,21,PP,1,108,36,145,,1
13260,1418252522,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,22,PP,1,108,36,145,,1
13260,1418252523,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,23,PP,1,108,36,145,,1
13260,1418252524,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,24,PP,1,108,36,145,,1
13260,1418252525,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,25,PP,1,108,36,145,,1
13260,1418252526,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,26,PP,1,108,36,145,,1
13260,1418252531,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,31,NP,1,108,36,145,,1
13260,1418252532,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,32,NP,1,108,36,145,,1
13260,1418252533,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,33,NP,1,108,36,145,,1
13260,1418252534,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,34,NP,1,108,36,145,,1
13260,1418252535,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,35,NP,1,108,36,145,,1
13260,1418252536,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,36,NP,1,108,36,145,,1
,,#NAME?,,,,,,,,,,,,,,,,1
,,#NAME?,,,,,,,,,,,,,,,,1
13120,1418262611,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,11,UP,16,102,130,248,,1
13120,1418262612,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,12,UP,16,102,130,248,,1
13120,1418262613,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,13,UP,16,102,130,248,,1
13120,1418262614,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,14,UP,16,102,130,248,,1
13120,1418262615,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,15,UP,16,102,130,248,,1
13120,1418262616,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,16,UP,16,102,130,248,,1
13120,1418262621,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,21,PP,16,102,130,248,,1
13120,1418262622,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,22,PP,16,102,130,248,,1
13120,1418262623,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,23,PP,16,102,130,248,,1
13120,1418262624,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,24,PP,16,102,130,248,,1
13120,1418262625,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,25,PP,16,102,130,248,,1
13120,1418262626,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,26,PP,16,102,130,248,,1
13120,1418262631,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,31,NP,16,102,130,248,,1
13120,1418262632,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,32,NP,16,102,130,248,,1
13120,1418262633,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,33,NP,16,102,130,248,,1
13120,1418262634,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,34,NP,16,102,130,248,,1
13120,1418262635,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,35,NP,16,102,130,248,,1
13120,1418262636,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,36,NP,16,102,130,248,,1
,,#NAME?,,,,,,,,,,,,,,,,1
,,#NAME?,,,,,,,,,,,,,,,,1
12816,1465939511,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,11,UP,12,41,44,97,,1
12816,1465939512,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,12,UP,12,41,44,97,,1
12816,1465939513,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,13,UP,12,41,44,97,,1
12816,1465939514,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,14,UP,12,41,44,97,,1
12816,1465939515,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,15,UP,12,41,44,97,,1
12816,1465939516,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,16,UP,12,41,44,97,,1
12816,1465939521,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,21,PP,12,41,44,97,,1
12816,1465939522,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,22,PP,12,41,44,97,,1
12816,1465939523,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,23,PP,12,41,44,97,,1
12816,1465939524,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,24,PP,12,41,44,97,,1
12816,1465939525,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,25,PP,12,41,44,97,,1
12816,1465939526,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,26,PP,12,41,44,97,,1
12816,1465939531,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,31,NP,12,41,44,97,,1
12816,1465939532,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,32,NP,12,41,44,97,,1
12816,1465939533,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,33,NP,12,41,44,97,,1
12816,1465939534,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,34,NP,12,41,44,97,,1
12816,1465939535,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,35,NP,12,41,44,97,,1
12816,1465939536,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,36,NP,12,41,44,97,,1
,,#NAME?,,,,,,,,,,,,,,,,1
,,#NAME?,,,,,,,,,,,,,,,,1
12745,1465949611,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,11,UP,16,140,151,307,,1
12745,1465949612,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,12,UP,16,140,151,307,,1
12745,1465949613,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,13,UP,16,140,151,307,,1
12745,1465949614,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,14,UP,16,140,151,307,,1
12745,1465949615,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,15,UP,16,140,151,307,,1
12745,1465949616,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,16,UP,16,140,151,307,,1
12745,1465949621,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,21,PP,16,140,151,307,,1
12745,1465949622,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,22,PP,16,140,151,307,,1
12745,1465949623,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,23,PP,16,140,151,307,,1
12745,1465949624,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,24,PP,16,140,151,307,,1
12745,1465949625,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,25,PP,16,140,151,307,,1
12745,1465949626,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,26,PP,16,140,151,307,,1
12745,1465949631,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,31,NP,16,140,151,307,,1
12745,1465949632,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,32,NP,16,140,151,307,,1
