"Sl..No","Barcode","code128","PSU","District","PSU_UP","Upazila","PSU_Union","Union","PSU_VWC","VWC","HH_PSU","wealth","Ultra.poor","Poor","Non.Poor","Total","Remarks","Print.Sl..no"
13260,1418252511,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",11,"UP",1,108,36,145,NA,1
13260,1418252512,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",12,"UP",1,108,36,145,NA,1
13260,1418252513,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",13,"UP",1,108,36,145,NA,1
13260,1418252514,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",14,"UP",1,108,36,145,NA,1
13260,1418252515,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",15,"UP",1,108,36,145,NA,1
13260,1418252516,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",16,"UP",1,108,36,145,NA,1
13260,1418252521,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",21,"PP",1,108,36,145,NA,1
13260,1418252522,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",22,"PP",1,108,36,145,NA,1
13260,1418252523,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",23,"PP",1,108,36,145,NA,1
13260,1418252524,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",24,"PP",1,108,36,145,NA,1
13260,1418252525,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",25,"PP",1,108,36,145,NA,1
13260,1418252526,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",26,"PP",1,108,36,145,NA,1
13260,1418252531,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",31,"NP",1,108,36,145,NA,1
13260,1418252532,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",32,"NP",1,108,36,145,NA,1
13260,1418252533,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",33,"NP",1,108,36,145,NA,1
13260,1418252534,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",34,"NP",1,108,36,145,NA,1
13260,1418252535,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",35,"NP",1,108,36,145,NA,1
13260,1418252536,NA,14,"Dhaka",18,"Dohar",25,"Dohar Pouroshova",25,"Yousufpur-2",36,"NP",1,108,36,145,NA,1
13120,1418262611,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",11,"UP",16,102,130,248,NA,1
13120,1418262612,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",12,"UP",16,102,130,248,NA,1
13120,1418262613,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",13,"UP",16,102,130,248,NA,1
13120,1418262614,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",14,"UP",16,102,130,248,NA,1
13120,1418262615,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",15,"UP",16,102,130,248,NA,1
13120,1418262616,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",16,"UP",16,102,130,248,NA,1
13120,1418262621,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",21,"PP",16,102,130,248,NA,1
13120,1418262622,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",22,"PP",16,102,130,248,NA,1
13120,1418262623,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",23,"PP",16,102,130,248,NA,1
13120,1418262624,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",24,"PP",16,102,130,248,NA,1
13120,1418262625,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",25,"PP",16,102,130,248,NA,1
13120,1418262626,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",26,"PP",16,102,130,248,NA,1
13120,1418262631,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",31,"NP",16,102,130,248,NA,1
13120,1418262632,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",32,"NP",16,102,130,248,NA,1
13120,1418262633,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",33,"NP",16,102,130,248,NA,1
13120,1418262634,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",34,"NP",16,102,130,248,NA,1
13120,1418262635,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",35,"NP",16,102,130,248,NA,1
13120,1418262636,NA,14,"Dhaka",18,"Dohar",26,"Mahmudpur",26,"Mahmudpur-2",36,"NP",16,102,130,248,NA,1
12816,1465939511,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",11,"UP",12,41,44,97,NA,1
12816,1465939512,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",12,"UP",12,41,44,97,NA,1
12816,1465939513,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",13,"UP",12,41,44,97,NA,1
12816,1465939514,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",14,"UP",12,41,44,97,NA,1
12816,1465939515,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",15,"UP",12,41,44,97,NA,1
12816,1465939516,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",16,"UP",12,41,44,97,NA,1
12816,1465939521,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",21,"PP",12,41,44,97,NA,1
12816,1465939522,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",22,"PP",12,41,44,97,NA,1
12816,1465939523,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",23,"PP",12,41,44,97,NA,1
12816,1465939524,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",24,"PP",12,41,44,97,NA,1
12816,1465939525,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",25,"PP",12,41,44,97,NA,1
12816,1465939526,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",26,"PP",12,41,44,97,NA,1
12816,1465939531,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",31,"NP",12,41,44,97,NA,1
12816,1465939532,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",32,"NP",12,41,44,97,NA,1
12816,1465939533,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",33,"NP",12,41,44,97,NA,1
12816,1465939534,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",34,"NP",12,41,44,97,NA,1
12816,1465939535,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",35,"NP",12,41,44,97,NA,1
12816,1465939536,NA,14,"Manikgonj",65,"Singair",93,"Sayesta",95,"East Bandhail",36,"NP",12,41,44,97,NA,1
12745,1465949611,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",11,"UP",16,140,151,307,NA,1
12745,1465949612,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",12,"UP",16,140,151,307,NA,1
12745,1465949613,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",13,"UP",16,140,151,307,NA,1
12745,1465949614,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",14,"UP",16,140,151,307,NA,1
12745,1465949615,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",15,"UP",16,140,151,307,NA,1
12745,1465949616,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",16,"UP",16,140,151,307,NA,1
12745,1465949621,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",21,"PP",16,140,151,307,NA,1
12745,1465949622,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",22,"PP",16,140,151,307,NA,1
12745,1465949623,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",23,"PP",16,140,151,307,NA,1
12745,1465949624,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",24,"PP",16,140,151,307,NA,1
12745,1465949625,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",25,"PP",16,140,151,307,NA,1
12745,1465949626,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",26,"PP",16,140,151,307,NA,1
12745,1465949631,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",31,"NP",16,140,151,307,NA,1
12745,1465949632,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",32,"NP",16,140,151,307,NA,1
12745,1465949633,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",33,"NP",16,140,151,307,NA,1
12745,1465949634,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",34,"NP",16,140,151,307,NA,1
12745,1465949635,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",35,"NP",16,140,151,307,NA,1
12745,1465949636,NA,14,"Manikgonj",65,"Singair",94,"Charigram",96,"North Charigram",36,"NP",16,140,151,307,NA,1
12244,1467979911,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",11,"UP",7,220,10,237,NA,1
12244,1467979912,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",12,"UP",7,220,10,237,NA,1
12244,1467979913,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",13,"UP",7,220,10,237,NA,1
12244,1467979914,NA,14,"Narayangonj",67,"Sonargaon",97,"Sonargaon-Pourashava",99,"Krisnonogor",14,"UP",7,220,10,237,NA,1
