Sl..No,ID,ID,cd128,PSU,District,PSU_UP,Upazila,PSU_Union,Union,PSU_VWC,VWC,Ultra.poor,Poor,Non.Poor,Total,Remarks,print
12394,14040505,14040505,#NAME?,14,Narayangonj,04,Bandar,05,Musapur,05,Dasargaon,15,52,140,207,,1
13260,14182525,14182525,#NAME?,14,Dhaka,18,Dohar,25,Dohar Pouroshova,25,Yousufpur-2,1,108,36,145,,1
13120,14182626,14182626,#NAME?,14,Dhaka,18,Dohar,26,Mahmudpur,26,Mahmudpur-2,16,102,130,248,,1
12745,14659496,14659496,#NAME?,14,Manikgonj,65,Singair,94,Charigram,96,North Charigram,16,140,151,307,,1
12816,14659395,14659395,#NAME?,14,Manikgonj,65,Singair,93,Sayesta,95,East Bandhail,12,41,44,97,,1
12244,14679799,14679799,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,7,220,10,237,,1
,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,1
11312,14344850,14344850,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,28,48,90,166,,2
11303,14344749,14344749,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,16,79,128,223,,2
11581,14365153,14365153,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,0,55,98,153,,2
12536,14639193,14639193,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,32,129,54,215,,2
37297,14060707,14060707,#NAME?,14,Tangail,06,Basail,07,Kashil,07,Bangra,51,62,107,220,,3
38249,14243334,14243334,#NAME?,14,Tangail  ,24,Gopalpur,33,Alomnagar ,34,Joynagar- 1,12,108,50,170,,3
38260,14243336,14243336,#NAME?,14,Tangail  ,24,Gopalpur,33,Alomnagar ,36,Nabogram-1,25,111,90,226,,3
38334,14243435,14243435,#NAME?,14,Tangail  ,24,Gopalpur,34,Nagda Shimla ,35,Jamtoil-2,23,115,127,265,,3
37985,14456769,14456769,#NAME?,14,Tangail,45,Modhupur,67,Ausnara,69,Konapara,67,185,23,275,,3
