Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Year of VWC establishment ,Year village social map was made,Total number of male members at start ,Total number of female members at start ,Total number of male members now ,Total number of female members now ,Is the area arsenic prone ,Total number of Ultra Poor HH ,Total number of poor HH,Total number of non poor HH ,Number of TW platform loan received from BRAC ,Number of DTW received from BRAC ,Number of PSF received from BRAC ,Number of other source  received from BRAC ,Please specify the other source,Number of TW platform loan received from other organisation ,Number of DTW received from other organisation ,Number of PSF received from other organisation ,Number of other source received from other organisation ,Text,VWC01sa: Drinking water source received from BRAC(source A),VWC01sb:Drinking water source received from BRAC(source B),VWC01sc:Drinking water source received from BRAC(source C),VWC02: Performance of VWC ,VWC03_men:Women's participation(men),VWC03_women:Women's participation(women),VWC03_agreed:Women's participation(agreed) 
14618991,23.780374,90.40943,2008,2008,5,6,5,6,no,52,84,160,1,0,0,0,0,0,0,0,0,0,A,F,F,B,A,A,A
14324446,23.851876,90.412829,2007,2007,5,6,5,6,yes,9,26,60,0,0,0,0,0,0,0,0,0,0,F,F,F,C,C,C,C
25176390,23.773728,90.409651,2012,2012,5,6,5,6,no,41,157,88,0,0,0,0,na,0,0,0,0,na,F,F,F,C,A,A,A
14446668,23.275937,89.786919,2007,2007,5,6,5,6,yes,57,104,124,0,0,0,0,0,0,0,0,0,0,F,F,F,C,C,C,C
25032166,22.36208,89.291748,2012,2012,5,6,5,6,no,22,41,103,0,0,0,0,0,0,0,0,0,0,F,F,F,B,C,C,C
25032071,24.548814,89.940711,2012,2012,5,6,5,6,no,54,42,204,0,0,0,0,0,0,0,0,0,0,F,F,F,B,A,A,A
25033089,24.548814,89.940711,2012,2012,5,6,5,6,no,75,44,144,0,1,0,0,0,0,2,0,0,0,A,F,F,B,A,A,A
14426264,24.204345,89.002812,2007,2007,5,6,5,6,no,57,150,93,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,C,C,C
14243336,24.570566,89.885464,2007,2007,5,6,5,6,no,25,83,118,1,0,0,0,N/A,0,0,0,0,N/A,D,F,F,C,C,C,C
25176318,23.361546,89.284995,2012,2012,5,6,5,6,no,26,138,59,0,0,0,0,0,0,0,0,0,0,F,F,F,C,A,A,A
14273840,22.427487,91.82172,2008,2008,5,6,5,6,no,45,80,173,0,0,0,0,0,0,0,0,0,No,F,F,F,C,A,A,A
14487274,23.331754,89.89262,2007,2007,5,6,5,6,yes,70,85,49,1,0,0,0,no,0,0,0,0,na,F,A,F,B,C,B,B
14558284,23.747158,89.625296,2008,2008,5,6,5,6,yes,39,90,162,1,0,0,0,NA,0,17,0,0,NA,B,F,F,B,A,A,A
14050606,24.930497,90.862765,2007,2007,5,6,5,6,no,28,141,78,1,1,0,0,No,0,0,0,0,No,A,F,F,A,A,A,A
14223132,24.340419,90.524669,2006,2006,5,6,5,6,no,22,155,123,2,0,0,0,o,0,0,0,0,o,B,C,F,C,D,C,C
25115920,25.161178,91.967074,2012,2012,5,6,5,6,no,35,34,24,0,0,0,0,N/a,0,0,0,0,N/a,F,F,F,C,C,C,C
25085705,22.582528,89.502945,2012,2012,5,6,5,6,no,42,44,28,0,0,0,0,na,0,0,1,1,psf,F,F,F,C,C,B,B
25160435,22.436145,89.264553,2012,2012,5,6,5,6,yes,71,101,30,0,0,0,0,na,0,0,0,0,na,F,F,F,B,A,A,A
14162222,21.449266,91.979038,2007,2007,5,6,5,6,no,13,35,63,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,A,A,A
25237781,22.76602,89.249498,2012,2012,5,6,5,6,no,57,154,90,0,0,0,0,0,0,1,0,0,0,F,F,F,B,A,A,A
