Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Name of the village,HH00:Interview the HH (presence of HH members) ,HHma:Number of adult male ,HHfa:Number of adult  female ,HHmado:Number of Adloscent male ,HHfado:Number of Adloscent female ,HHmh5:Number of male children(>5yrs),HHfH5:Number of female children (>5yrs),HHml5:Number of male children(<=5yrs),HHfl5:Number of female children(<=5yrs),HHmsp:Number of male member who need assistance to access the latrine or defecate in the open ,HHfsp:Number of female member who need assistance to access the latrine or defecate in the open   ,HHsx:Sex of the interviewee,Economic status during data collection,HH01(old): Safe & Protected Main Drinking Water Source(old),HH01(new): Safe & Protected Main Drinking Water Source(new),HH02old: Drinking Water Management from Source to Cup(old),HH02new: Drinking Water Management from Source to Cup(new),HH03old: Quality of Latrine(old),HH03new: Quality of Latrine(new),HH03A:Shared latrine ,HH03B:Type of latrine ,HH3B:Type of Latrine(pls specify),HH04: Latrine use by whom,HH04A:Latrine use_All members,HH05:Latrine use when ,HH06:Hand washing provisions after defaecation ,HH07(dne):Sludge management(done),HH07(ftr):Sludge management(future),Image_water point ,Image (Latrine)
2503207111,23.779976,90.410176,Patuli,yes ,1,1,0,0,1,0,1,0,0,0,female,UP,A,A,A,A,A,A,A,B,,A,yes,B,C,F,C,1408614888048.jpg,1408614904390.jpg
2503207112,23.780374,90.40943,Patuli,yes ,2,3,1,0,0,0,2,0,0,0,female,PP,A,A,D,C,C,C,A,A,,A,yes,B,B,F,C,1408614810878.jpg,1408614829267.jpg
2503207113,23.780254,90.410125,Patuli,yes ,2,1,1,0,0,0,0,0,0,0,female,PP,D,C,C,C,C,C,A,B,,B,yes,A,D,F,C,1408614821122.jpg,1408614842981.jpg
2503308911,23.783019,90.409747,Tangosaipur,yes ,1,1,0,0,0,0,0,1,0,0,female,UP,B,B,C,C,A,A,A,A,,A,yes,A,C,C,E,1408636161026.jpg,1408636174561.jpg
2503308912,23.780254,90.410125,Tangosaipur,yes ,1,1,0,0,0,1,0,1,0,0,female,UP,B,B,B,B,A,A,A,A,,A,yes,A,C,C,,1408614821122.jpg,1408614842981.jpg
2503308913,23.780374,90.40943,Tangosaipur,yes ,1,2,0,1,1,1,1,0,0,0,female,UP,A,A,A,A,A,A,A,B,,A,yes,A,B,C,,1408617535866.jpg,1408617553840.jpg
2503308923,23.849048,90.413289,Tangosaipur,yes ,4,2,1,0,1,0,0,1,0,0,female,PP,A,A,C,C,C,C,C,A,,B,No,E,D,F,D,1408635697119.jpg,1408635719067.jpg
2503308924,23.846107,90.413858,Tangosaipur,yes ,1,1,0,0,1,0,1,1,0,0,female,PP,B,B,C,C,C,C,A,A,,B,No,E,C,C,,1408703600736.jpg,1408703638432.jpg
2503308925,23.851615,90.412275,Tangosaipur,yes ,1,1,0,1,1,0,1,0,0,0,female,NP,B,B,C,C,C,C,A,A,,A,yes,A,B,F,C,1408728723265.jpg,1408728734772.jpg
2503308936,23.851765,90.412775,Tangosaipur,yes ,1,1,1,0,1,0,0,2,0,0,female,NP,B,B,C,B,B,A,A,A,,A,yes,A,C,F,C,1408803570387.jpg,1408803594748.jpg
1442626424,24.203948,89.002772,Gopalpur-1,yes ,1,2,0,0,1,0,1,0,0,0,female,NP,B,C,D,C,C,C,A,A,,B,yes,A,D,F,C,1409632911238.jpg,1409632940465.jpg
1442626412,24.204057,89.002792,Gopalpur-1,yes ,1,1,0,1,0,0,0,0,0,0,female,PP,C,D,D,D,C,C,A,A,,B,yes,A,D,F,C,1409635297194.jpg,1409635325477.jpg
1427384023,22.427487,91.82172,Rajkhan para,yes ,1,1,2,1,0,0,0,0,0,0,female,PP,C,D,D,D,E,E,A,D,Expita exposs,B,yes,A,C,D,,1409635934306.jpg,1409635959300.jpg
1461899136,23.361546,89.284995,Singra,yes ,2,2,0,0,0,0,0,0,0,0,female,NP,A,A,A,A,B,A,A,A,,B,yes,A,B,F,C,1409637832973.jpg,1409637874262.jpg
1461899121,23.361546,89.284995,Singra,yes ,2,1,0,1,1,0,0,0,0,0,female,NP,B,B,A,A,C,C,A,A,,B,yes,A,B,C,,1409639863270.jpg,1409639915973.jpg
1405060611,24.930497,90.862765,Soygau ,yes ,2,1,1,2,1,0,0,0,0,0,female,UP,A,A,D,C,A,A,A,B,,A,yes,B,E,C,,1409641488075.jpg,1409641155907.jpg
1405060612,24.930497,90.862765,Soygau,yes ,1,1,0,0,2,0,1,0,0,0,female,UP,A,A,D,C,C,C,A,B,,A,yes,B,C,C,,1409643318511.jpg,1409643866484.jpg
1424333611,24.571575,89.887763,Nabagram 1,yes ,1,1,1,1,0,0,0,0,0,0,female,UP,C,D,C,D,D,D,A,B,,B,yes,B,C,C,,1409599513547.jpg,1409599542821.jpg
1424333631,24.571526,89.887873,Nabogran-1,yes ,3,2,0,0,0,0,0,0,0,0,male,NP,C,D,D,D,D,D,A,A,,B,yes,B,D,C,,1409600865946.jpg,1409600880672.jpg
1455828431,23.747158,89.625296,Roynagar,yes ,3,2,0,0,0,0,1,0,0,0,female,NP,B,B,D,C,C,C,A,A,,A,yes,A,B,F,C,1409639104275.jpg,1409639126405.jpg
1455828411,23.747158,89.625296,Roynagar,yes ,1,1,1,0,0,1,0,1,0,0,female,UP,D,D,D,D,E,E,A,A,,B,No,B,D,C,,1409639143685.jpg,1409639170862.jpg
1455828415,23.744232,89.6279,Roynagar,yes ,1,1,0,0,1,0,0,1,0,0,female,PP,E,E,E,E,C,C,C,A,,A,yes,B,D,F,D,1409641836196.jpg,1409641870800.jpg
1461899111,23.36077,89.328939,Singra,yes ,3,2,0,0,0,0,0,0,0,0,female,PP,C,D,C,D,B,A,B,A,,B,yes,A,B,F,C,1409645243343.jpg,1409645284224.jpg
1405060613,24.930497,90.862765,Soygau,yes ,1,1,0,1,1,0,0,1,0,0,female,UP,A,A,D,C,A,A,A,B,,A,yes,B,C,F,D,1409645836097.jpg,1409645895186.jpg
1455828412,23.756974,89.63569,Roynagar,yes ,1,1,0,0,0,0,1,0,0,0,female,UP,A,A,D,C,C,C,C,A,,B,No,B,D,C,,1409641758055.jpg,1409641798930.jpg
1424333632,24.568285,89.885756,Nabogram-1,yes ,1,1,1,0,0,0,0,0,0,0,female,PP,C,D,D,D,C,C,A,A,,B,yes,B,D,C,,1409604840303.jpg,1409604864777.jpg
1455828433,23.756974,89.63569,Roynagar,yes ,2,1,1,1,0,0,0,0,0,0,male,NP,B,B,D,C,D,D,A,B,,A,yes,A,D,F,C,1409644368237.jpg,1409644395634.jpg
1442626436,24.204082,89.003572,Gopalpur-1,yes ,1,1,0,0,0,1,0,0,0,0,male,NP,D,D,D,D,C,C,A,C,,B,yes,A,D,F,D,1409637744211.jpg,1409637770002.jpg
1427384024,22.427487,91.82172,Rajkhan para,yes ,3,2,0,0,0,0,0,0,0,0,male,NP,A,A,A,A,B,A,A,C,,B,yes,A,A,D,,1409640052755.jpg,1409640133415.jpg
1405060631,24.930497,90.862765,Soygau,yes ,2,1,0,1,2,0,0,0,0,0,female,NP,A,A,A,A,A,C,A,B,,A,yes,B,B,B,,1409650175804.jpg,1409650662629.jpg
1427384012,22.432596,91.834871,Rajkhan para,yes ,1,2,1,1,0,0,0,0,0,0,female,UP,A,A,D,C,C,C,A,B,,B,yes,A,C,D,,1409643254755.jpg,1409642113934.jpg
1427384015,22.432045,91.819641,Rajkhan para,yes ,3,1,0,1,0,0,0,0,0,0,female,NP,A,A,B,B,B,A,A,A,,B,yes,A,C,F,D,1409643212297.jpg,1409642995764.jpg
