Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Furthest distance from RSC to households of the union,"Travel time (to and from) from RSC to ultra poor households of the union ","Support received from the BRAC WASH Programme ","RSC01:Performance of RSC ","Comment (if any) "
103956207,23.780165,90.410386,9,3,B,B,
103956208,23.780374,90.40943,0,0,B,E,"not present "
103956209,23.779997,90.410135,8,3,C,D,
103955213,,,0,0,B,E,
103957224,23.84962,90.413006,6,3,B,D,
200956118,23.848915,90.413339,0,0,B,E,moved to his own home
200975122,,,0,0,C,E,"Moved to another union "
200975123,,,0,0,B,E,"moved to another union "
200975124,23.848915,90.413339,0,0,A,E,"moved to another union  "
101418074,23.780249,90.409272,0,0,C,E,"ownership and name changed 2 years ago. "
101418075,23.780374,90.40943,6,2,B,B,
202125296,23.780118,90.410363,8,3,C,C,
202106295,23.779997,90.41014,7,3,A,D,
101520078,,,0,0,B,E,
101521079,,,4,1,B,B,
101521083,23.779976,90.410176,0,0,A,E,moved
101519085,,,0,0,B,E,
104465001,23.779997,90.41014,8,2,B,A,
104466007,23.78,90.410142,10,2,B,E,
202377331,22.771534,89.253096,5,2,C,B,No comment.
100203027,26.237519,88.409342,9,2,C,A,you have a subcentre.
100203028,26.23733,88.409575,9,2,C,C,no comment.
102737165,22.424879,91.869292,0,0,B,E,No RSC center
102231137,24.457071,90.542121,7,180,B,D,He change business of RSC.
102231138,24.457071,90.542121,7,240,B,D,He change RSC business and starting tea stall.
102231140,24.314432,90.529945,5,180,C,D,change of RSC business.
102231139,24.457071,90.542121,6,150,B,D,change of business
102231136,24.448369,90.535131,0,0,B,E,He leave in her upzila
101315066,24.85444,89.382967,4,2,C,D,have no waterseal/saifun
106492311,25.024042,89.3179,0,0,C,E,Information from office
105582300,23.747162,89.625321,8,2,C,E,No activity now
103448179,24.026402,90.527539,6,3,C,B,N/A
101417068,23.622424,91.105452,6,2,C,E,no production
200926111,23.144046,90.725861,6,2,B,D,0
101417069,23.622424,91.105452,3,2,B,E,no production
