Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,"Type of school ","SStotMteacher:Number of male teachers at school ","SStotFteacher:Number of female teachers at school ","SStotboys:Number of total boys at school ","SStotgirls:Number of total girls at school ","SSwater:Main source of drinking water at school ","5specifySSwater:Main source of drinking water at school ","SSGlatBRAC:Number of separate latrine for girls from BRAC & school authority ",SSGlat: Number of separate  latrine for girls other than BRAC,"SSBlat:Number of latrine for boys  ","SSUG:Number of urinal for girls ","SSUB: Number of urinal for boys ","SS01aABRAC:Number of latrine for girls from BRAC & school ","SS01aBBRAC:Number of latrine for girls from BRAC & school  ","SS01aCBRAC:Number of latrine for girls from BRAC & school ","SS01aDBRAC:Number of latrine for girls from BRAC & school ","SS01aEBRAC: Number of latrine for girls from BRAC & school ","SS01cAoth:Number of other latrine for girls ","SS01cBoth:Number of other latrine for girls ","SS01cCoth: Number of other latrine for girls ","SS01cDoth:Number of other latrine for girls ","SS01cEoth:Number of other latrine for girls ",SS01bAboys: Number of latrine for boys,"SS01bBboys:Number of latrine for boys ","SS01bCboys:Number of latrine for boys ","SS01bDboys: Number of latrine for boys ","SS01bEboys: Number of latrine for boys ","SS02: Student Brigade ","SS03: Menstrual hygiene management ","SS04:Performance of School WASH Committee "
521449134,23.779997,90.410135,"Co-education ",9,2,403,452,4,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,C,B,C
521471136,23.779997,90.410135,"Co-education ",8,5,451,606,3,0,2,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,B,C,D
521471137,23.780165,90.410424,"Co-education ",7,3,368,525,4,0,2,1,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,C,C,D
521401125,23.779997,90.410135,"Co-education ",11,4,114,401,3,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,C,B,B
411418297,23.779997,90.410135,"Co-education ",13,1,416,508,4,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,B,A,A
411418307,23.779997,90.410135,"Co-education ",9,3,331,445,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,C,B
522140233,23.779997,90.410135,"Co-education ",9,4,227,213,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,C,C,B
522140234,23.7803,90.41046,"Co-education ",8,3,200,247,3,0,2,2,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,C,C,B
522129229,23.780253,90.409269,girls only,7,2,0,110,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C
522140232,23.779976,90.410175,"Co-education ",9,3,282,228,3,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,C,C,C
