ID,cd128,PSU,District,PSU_UP,Upazila,PSU_Union,Union,PSU_School,Name_School,Total_Girls,Total_Students,Remarks,print
410405199,#NAME?,41,Narayangonj,04,Bandar,05,Musapur,199,Shumsujuha M.B Union  High School ,459,847,,1
410405200,#NAME?,41,Narayangonj,04,Bandar,05,Musapur,200,Malibag Karamotia High School ,685,1100,,1
411825015,#NAME?,41,Dhaka,18,Dohar,25,Dohar Pouroshova,015,Begam Aysha pilot girls High School,1864,1864,,1
411825016,#NAME?,41,Dhaka,18,Dohar,25,Dohar Pouroshova,016,Lotakhola Asgor Ali  Mamorial High School,364,644,,1
411825017,#NAME?,41,Dhaka,18,Dohar,25,Dohar Pouroshova,017,Lotakhola High School,232,417,,1
411826018,#NAME?,41,Dhaka,18,Dohar,26,Mahmudpur,018,Mamudpur Junior Highool,125,188,,1
416594178,#NAME?,41,Manikgonj,65,Singair,94,Charigram,178,No School Sanitation,,,,1
416593179,#NAME?,41,Manikgonj,65,Singair,93,Sayesta,179,No School Sanitation,,,,1
416797201,#NAME?,41,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,201,Sonargoan G.R Instititut & Collage,2617,2617,,1
,#NAME?,,,,,,,,,,,,1
,#NAME?,,,,,,,,,,,,1
,#NAME?,,,,,,,,,,,,1
413448039,#NAME?,41,Gazipur,34,Kaligonj-Ga,48,Jangalia,039,JangaliaHigh School,235,447,,2
413448040,#NAME?,41,Gazipur,34,Kaligonj-Ga,48,Jangalia,040,Nurun High School,265,521,,2
413448041,#NAME?,41,Gazipur,34,Kaligonj-Ga,48,Jangalia,041,Asmoth pur High School,248,431,,2
413447042,#NAME?,41,Gazipur,34,Kaligonj-Ga,47,Tumulia,042,Boyali girls High School,255,255,,2
413447044,#NAME?,41,Gazipur,34,Kaligonj-Ga,47,Tumulia,044,Boyali High School,77,245,,2
413651045,#NAME?,41,Gazipur,36,Kapasia,51,Singhsre,045,Kopulersor High School,225,390,,2
416391175,#NAME?,41,Manikgonj,63,Shibalaya,91,Uthali,175,Upazila Central Abdul Goni Sarker High School,564,1192,,2
416391176,#NAME?,41,Manikgonj,63,Shibalaya,91,Uthali,176,Utholi  pilot girls High School,429,429,,2
416391177,#NAME?,41,Manikgonj,63,Shibalaya,91,Uthali,177,Baradia  High School,137,292,,2
,#NAME?,,,,,,,,,,,,2
,#NAME?,,,,,,,,,,,,2
,#NAME?,,,,,,,,,,,,2
414567291,#NAME?,41,Tangail,45,Modhupur,67,Ausnara,291,Ausnara High School,350,725,,3
414567292,#NAME?,41,Tangail,45,Modhupur,67,Ausnara,292,Mohismara Nadurbazar  High School,140,255,,3
414567293,#NAME?,41,Tangail,45,Modhupur,67,Ausnara,293,Sunamgong Public  High School,175,395,,3
414567294,#NAME?,41,Tangail,45,Modhupur,67,Ausnara,294,Edilpur  High School,225,445,,3
414567295,#NAME?,41,Tangail,45,Modhupur,67,Ausnara,295,Kuralia B.K  High School,196,380,,3
414567296,#NAME?,41,Tangail,45,Modhupur,67,Ausnara,296,Dholpur  High School,180,350,,3
414567298,#NAME?,41,Tangail,45,Modhupur,67,Ausnara,298,Chapri Public  High School,365,760,,3
410607284,#NAME?,41,Tangail,06,Basail,07,Kashil,284,K.B.N High School,227,455,,3
410607285,#NAME?,41,Tangail,06,Basail,07,Kashil,285,Batholi Sadi Laily Begum High School,352,772,,3
410607287,#NAME?,41,Tangail,06,Basail,07,Kashil,287,Dawly. Khandakar Nur Alam High School,72,212,,3
410607288,#NAME?,41,Tangail,06,Basail,07,Kashil,288,Bagil Fulbari High School,135,258,,3
410607289,#NAME?,41,Tangail,06,Basail,07,Kashil,289,Martha Land Strom & Nurjahan Begum Girls High School,282,282,,3
410607290,#NAME?,41,Tangail,06,Basail,07,Kashil,290,Abdul Khalak Abdul Kader Dakhil Madrasha,48,125,,3
412433305,#NAME?,41,Tangail  ,24,Gopalpur,33,Alomnagar ,305,Alomnogor High School,166,340,,3
412433306,#NAME?,41,Tangail  ,24,Gopalpur,33,Alomnagar ,306,Alomnogor Union High School,107,181,,3
412433308,#NAME?,41,Tangail  ,24,Gopalpur,33,Alomnagar ,308,Nobogram High School,127,267,,3
412433309,#NAME?,41,Tangail  ,24,Gopalpur,33,Alomnagar ,309,Makkulla High School,63,135,,3
412434310,#NAME?,41,Tangail  ,24,Gopalpur,34,Nagda Shimla ,310,Maqulla High SchooL,,,,3
416087299,#NAME?,41,Tangail,60,Shakhipur,87,Boheratoil,299,Boheratoil pubilc High School,211,399,,3
416087300,#NAME?,41,Tangail,60,Shakhipur,87,Boheratoil,300,Betua High School,175,327,,3
416087301,#NAME?,41,Tangail,60,Shakhipur,87,Boheratoil,301,Kalian High School,123,256,,3
416087302,#NAME?,41,Tangail,60,Shakhipur,87,,302,No School Sanitation,115,210,,3
416088303,#NAME?,41,Tangail,60,Shakhipur,88,,303,No School Sanitation,111,227,,3
416088304,#NAME?,41,Tangail,60,Shakhipur,88,,304,No School Sanitation,115,251,,3
416290251,#NAME?,41,Sherpur,62,Sherpur sadar ,90,Vatshala ,251,Imam Bari High School,182,416,,4
416290252,#NAME?,41,Sherpur,62,Sherpur sadar ,90,Vatshala ,252,Sonkanda M T Hossion High School,168,382,,4
416290254,#NAME?,41,Sherpur,62,Sherpur sadar ,90,Vatshala ,254,Medel Bayra High School,152,287,,4
416290255,#NAME?,41,Sherpur,62,Sherpur sadar ,90,Vatshala ,255,Shapmari High School,149,291,,4
516898195,#NAME?,51,Mymensingh,68,Trishal,98,Khatal,195,Fatema Nager High school,327,478,,5
516898196,#NAME?,51,Mymensingh,68,Trishal,98,Khatal,196,Kalir Bazar High school,399,598,,5
516898197,#NAME?,51,Mymensingh,68,Trishal,98,Khatal,197,Halima High school,255,409,,5
516898198,#NAME?,51,Mymensingh,68,Trishal,98,Khatal,198,Tatuliapara High school,270,490,,5
412231182,#NAME?,41,Mymensingh,22,Gaffargaon,31,Paithol,182,Joydharkhali Girls High School,332,332,,5
412636183,#NAME?,41,Mymensingh,26,Haluaghat,36,Haluaghat,183,Haluaghat Girls High School,844,844,,5
412636184,#NAME?,41,Mymensingh,26,Haluaghat,36,Haluaghat,184,Haluaghat Idal High School,757,1568,,5
412636185,#NAME?,41,Mymensingh,26,Haluaghat,36,Haluaghat,185,Sent Meris Junior High School,522,522,,5
412636186,#NAME?,41,Mymensingh,26,Haluaghat,36,Haluaghat,186,Sent Andross High School,450,891,,5
412636187,#NAME?,41,Mymensingh,26,Haluaghat,36,Haluaghat,187,Kalianikanda Idal High School,210,390,,5
412636188,#NAME?,41,Mymensingh,26,Haluaghat,36,Haluaghat,188,Haluaghat D.S Dhakhil Madrasha,181,350,,5
412636189,#NAME?,41,Mymensingh,26,Haluaghat,36,Haluaghat,189,Rangrapara High School ,225,415,,5
414974190,#NAME?,41,Mymensingh,49,Mymensingh Sadar,74,Khagdahar,190,Begunbari High School,354,677,,5
414974192,#NAME?,41,Mymensingh,49,Mymensingh Sadar,74,Khagdahar,192,Begunbari K.B Dakhil Madrasha,123,192,,5
414974193,#NAME?,41,Mymensingh,49,Mymensingh Sadar,74,Khagdahar,193,Maysbari Abdul Khaleq High School,130,321,,5
414974194,#NAME?,41,Mymensingh,49,Mymensingh Sadar,74,Khagdahar,194,Kalkapur Junior High School,140,247,,5
520208214,#NAME?,52,Netrokona,02,Atpara,08,Baniajan,214,Baniajan C.T Pilot High School,339,836,,6
520208215,#NAME?,52,Netrokona,02,Atpara,08,Baniajan,215,Atpara Thana Shahid Soronika Girls High School,330,330,,6
520224216,#NAME?,52,Netrokona,02,Atpara,24,Duaz,216,Ikratia Anowara Abdul Aziz Memorial Girls High School,249,249,,6
520224217,#NAME?,52,Netrokona,02,Atpara,24,Duaz,217,Shamsuddin Chowdhury Memorial Girls High School,182,338,,6
520278218,#NAME?,52,Netrokona,02,Atpara,78,Teligati,218,Taligati B.N.H.K Academy ,410,1000,,6
520278219,#NAME?,52,Netrokona,02,Atpara,78,Teligati,219,Mongalshid S.M High School,265,479,,6
410506220,#NAME?,41,Netrokona,05,Barhatta,06,Asma,220,Ujangaon Monash Abbasia High School,203,449,,6
410506221,#NAME?,41,Netrokona,05,Barhatta,06,Asma,221,Kailaty F.U. Fazil Madrasah,308,605,,6
410506222,#NAME?,41,Netrokona,05,Barhatta,06,Asma,222,Hajigonj High School,228,415,,6
413752223,#NAME?,41,Netrokona,37,Kendua,52,Sandikona,223,Mitali High School,167,386,,6
,#NAME?,,,,,,,,,,,,6
,#NAME?,,,,,,,,,,,,6
522102225,#NAME?,52,Netrokona,21,Purbadhala,02,Agia,225,Agia High School,300,585,,7
522106226,#NAME?,52,Netrokona,21,Purbadhala,06,Bairati,226,Tenua High School,238,462,,7
522106227,#NAME?,52,Netrokona,21,Purbadhala,06,Bairati,227,Bainza High School,291,543,,7
522125228,#NAME?,52,Netrokona,21,Purbadhala,25,Ghagra,228,Ramkanda High School,80,152,,7
522129229,#NAME?,52,Netrokona,21,Purbadhala,29,Hugla,229,Panisha Girls High School,138,138,,7
522133230,#NAME?,52,Netrokona,21,Purbadhala,33,Jariya,230,Dr. Mohammad Ali High School,320,440,,7
522133231,#NAME?,52,Netrokona,21,Purbadhala,33,Jariya,231,N.Jaria-Zanzail High School,404,779,,7
522140232,#NAME?,52,Netrokona,21,Purbadhala,40,Kholishaur,232,Phaboi High School,240,450,,7
522140233,#NAME?,52,Netrokona,21,Purbadhala,40,Kholishaur,233,Khalishapur High School,200,396,,7
522140234,#NAME?,52,Netrokona,21,Purbadhala,40,Kholishaur,234,Eshulia High School,263,583,,7
,#NAME?,,,,,,,,,,,,7
,#NAME?,,,,,,,,,,,,7
520320118,#NAME?,52,Kishoregonj,03,Bajitpur,20,Dighirpar,118,No School Sanitation,,,,8
520321119,#NAME?,52,Kishoregonj,03,Bajitpur,21,Dilalpur,119,No School Sanitation,,,,8
520330120,#NAME?,52,Kishoregonj,03,Bajitpur,30,Humaipur,120,No School Sanitation,,,,8
520358121,#NAME?,52,Kishoregonj,03,Bajitpur,58,Pirijpur,121,Duaigoan Sultanpur High School,314,527,,8
520428122,#NAME?,52,Kishoregonj,04,Bhairab ,28,Gojaria,122,Alfazuddin Hi-school,325,613,,8
520436123,#NAME?,52,Kishoregonj,04,Bhairab ,36,Kalikaprosad,123,Kalikaprosad Hi-school,792,1390,,8
,#NAME?,,,,,,,,,,,,8
,#NAME?,,,,,,,,,,,,8
521401125,#NAME?,52,Kishoregonj,14,Katiadi,01,Achmita,125,Maddapara Hight School,334,597,,9
521401126,#NAME?,52,Kishoregonj,14,Katiadi,01,Achmita,126,Achmita Adorsho Girls School,350,350,,9
521432128,#NAME?,52,Kishoregonj,14,Katiadi,32,Jalalpur,128,Jalalpur Union High School,250,350,,9
521438129,#NAME?,52,Kishoregonj,14,Katiadi,38,Katiadi-Pourashava,129,Roich Mahamud High School,270,455,,9
521438130,#NAME?,52,Kishoregonj,14,Katiadi,38,Katiadi-Pourashava,130,Thaharanur High School,360,465,,9
521438131,#NAME?,52,Kishoregonj,14,Katiadi,38,Katiadi-Pourashava,131,Katiadi Pilot Girls High School,1220,1220,,9
521438132,#NAME?,52,Kishoregonj,14,Katiadi,38,Katiadi-Pourashava,132,Katiadi Pilot Model High School,126,1320,,9
521448133,#NAME?,52,Kishoregonj,14,Katiadi,48,Mosua,133,Masua Hight School,608,1091,,9
521449134,#NAME?,52,Kishoregonj,14,Katiadi,49,Mumurdia,134,Chatol Baghata School and Collage,460,785,,9
521449135,#NAME?,52,Kishoregonj,14,Katiadi,49,Mumurdia,135,Hazara Sultan Hight School,347,651,,9
521471136,#NAME?,52,Kishoregonj,14,Katiadi,71,Shasram Duldia,136,Hazi Samsuddin High School,338,563,,9
521471137,#NAME?,52,Kishoregonj,14,Katiadi,71,Shasram Duldia,137,Hazi Mohammad Abul Fazal High School,458,778,,9
521742145,#NAME?,52,Kishoregonj,17,Kuliarchar,42,Kuliarchar-Pourashava,145,Kuliarchar Pilot High School,794,1792,,10
521763146,#NAME?,52,Kishoregonj,17,Kuliarchar,63,Ramdi,146,Agorpur G.C High School,680,1187,,10
